created_at,full_text,sentiment,compound
Wed Apr 30 12:57:06 +0000 2025,Since Ohio State-Notre Dame played on the night of the inauguration @JDVance asked if he could skip the balls and go to the game. It wasn’t well received. He explains how he watched the games that night. College football fans will enjoy:,positive,0.7717
Tue Apr 29 20:59:58 +0000 2025,"President Trump has made historic progress in the first 100 days of his presidency, but he's also revealed the ways in which the entrenched bureaucracy in Washington is working to undermine the will of the American people. Thank God, we have a president who is fighting back.",positive,0.1901
Fri Apr 25 18:10:23 +0000 2025,"As the estimable Ro Khanna once said, ""No one is above the law.""",negative,-0.296
Fri Apr 25 11:25:17 +0000 2025,We’re seeing a consistent pattern.   1) Biden administration does something the American people elected Donald Trump to undo.   2) A lawless district court judge substitutes his or her policy preferences for the will of the People.   This is not consistent with the Constitution.,neutral,0.0
Wed Apr 23 19:34:48 +0000 2025,"With three little kids staring into the sun, this was actually the *best* photo we got at the Taj Mahal today 😂",neutral,0.0
Tue Apr 22 15:51:52 +0000 2025,"Usha and I extend our condolences to the victims of the devastating terrorist attack in Pahalgam, India. Over the past few days, we have been overcome with the beauty of this country and its people. Our thoughts and prayers are with them as they mourn this horrific attack.",negative,-0.9684
Mon Apr 21 17:19:32 +0000 2025,It was an honor to see Prime Minister Modi this evening. He’s a great leader and he was incredibly kind to my family.   I look forward to working under President Trump’s leadership to strengthen our friendship and cooperation with the people of India!,positive,0.9476
Mon Apr 21 17:17:28 +0000 2025,"Pleased to welcome US @VP @JDVance and his family in New Delhi. We reviewed the fast-paced progress following my visit to the US and meeting with President Trump. We are committed to mutually beneficial cooperation, including in trade, technology, defence, energy and…",positive,0.9349
Mon Apr 21 08:45:44 +0000 2025,"I just learned of the passing of Pope Francis. My heart goes out to the millions of Christians all over the world who loved him.   I was happy to see him yesterday, though he was obviously very ill. But I’ll always remember him for the below homily he gave in the very early days…",positive,0.4124
Sun Apr 20 13:03:44 +0000 2025,Happy Easter!,positive,0.6114
Sat Apr 19 15:32:32 +0000 2025,Great to welcome Vicepresident @JDVance in Rome! 🇮🇹🤝🏻🇺🇸,positive,0.8122
Sat Apr 19 13:26:23 +0000 2025,"Oggi, a Palazzo Chigi, ho ricevuto il Vicepresidente degli Stati Uniti d’America J.D. Vance. Italia e Stati Uniti continuano a rafforzare la loro cooperazione su tutti i principali dossier internazionali. Un’amicizia solida, una partnership strategica.",neutral,0.0
Sat Apr 19 13:25:59 +0000 2025,"🇮🇹🇺🇸 An honor and a pleasure to meet my friend @JDVance, @VP of the United States, in Rome. Our countries share a deep bond of friendship and cooperation. 2025 must be the year of PEACE — we count on the Trump administration to help end the wars in Ukraine and the Middle East. I…",positive,0.9654
Fri Apr 18 14:06:09 +0000 2025,"I’m grateful every day for this job, but particularly today where my official duties have brought me to Rome on Good Friday. I had a great meeting with Prime Minister Meloni and her team, and will head to church soon with my family in this beautiful city.   I wish all Christians…",positive,0.9735
Fri Apr 18 09:00:27 +0000 2025,Call me crazy but if you got two hearings and a valid deportation order then you shouldn’t be in the United States.,positive,0.4588
Wed Apr 16 11:44:03 +0000 2025,"@lwoodhouse @ZaidJilani Actually I was responding to a person who proposed a burden of “proof” and a “trial” and suggesting that standard is preposterous. Rather than accusing me of dishonesty, you might read what I wrote and what I responded to.   Since you’re proposing something different I’ll put the…",negative,-0.5574
Wed Apr 16 01:41:48 +0000 2025,"Consider that Joe Biden allowed approximately 20 million illegal aliens into our country. This placed extraordinary burdens on our country--our schools, hospitals, housing, and other essential services were overwhelmed. On top of that, many of these illegal aliens committed…",negative,-0.8271
Mon Apr 14 21:12:51 +0000 2025,.@POTUS gives a shoutout to the biggest Buckeye fan of all @JDVance👏,positive,0.3182
Mon Apr 14 20:22:40 +0000 2025,I didn’t want anyone after Ohio State to get the trophy so I decided to break it,positive,0.0772
Mon Apr 14 00:42:34 +0000 2025,"Thanks be to God that Governor Shapiro and his family were unharmed in this attack.   Really disgusting violence, and I hope whoever did it is brought swiftly to justice.",negative,-0.0506
Thu Apr 10 13:47:57 +0000 2025,"There is a category of DC insider who wants to fight an actual war with China but also wants China to manufacture much of our critical supply. This is insane.   President Trump wants peace, but also wants fair trade and more self-reliance for the American economy.",negative,-0.2617
Thu Apr 10 12:57:18 +0000 2025,Incredible news. Inflation even lower than expected!,negative,-0.3595
Tue Apr 08 17:31:04 +0000 2025,Mitch’s vote today—like so much of the last few years of his career—is one of the great acts of political pettiness I’ve ever seen.,positive,0.6249
Tue Apr 08 16:25:44 +0000 2025,This is pretty incredible. Smart education reform drastically improved Mississippi's schools.,positive,0.8402
Tue Apr 08 00:17:58 +0000 2025,The Supreme Court today rejected the idea that far left judges in DC can overrule President Trump's immigration enforcement.   This is a major loss for the lunatics and a major win for the American people.   Onward!,positive,0.126
Tue Apr 08 00:11:22 +0000 2025,ALIEN ENEMIES ACT NOW IN FULL EFFECT. THE FOREIGN TERRORISTS WILL BE ARRESTED AND EXPELLED.,negative,-0.9081
Mon Apr 07 16:32:38 +0000 2025,"The United States has a chance to do something that should have been done DECADES AGO. Don’t be Weak! Don’t be Stupid! Don’t be a PANICAN (A new party based on Weak and Stupid people!). Be Strong, Courageous, and Patient, and GREATNESS will be the result!",positive,0.4153
Mon Apr 07 03:25:15 +0000 2025,"We have a $53 BILLION annual automotive trade deficit with Japan, $40 BILLION auto deficit with Europe, $50 BILLION auto deficit with S Korea. Cold hard math: our allies have shut their markets to our cars while our market has been flooded with theirs. This was all deliberate.",negative,-0.8176
Fri Apr 04 00:16:12 +0000 2025,".@VP: “Think about how many factories we have seen close down since NAFTA, in the early nineties, 90,000 American factories have been closed down. That is small towns that have been blighted. That is millions of workers who have lost their jobs. That has to stop!”",negative,-0.3802
Thu Apr 03 13:47:15 +0000 2025,".@VP on tariffs: “This is a big change — but we needed a big change. We cannot keep going down the Joe Biden globalist pathway, where we have $2 trillion of peacetime debt and deficits. We have manufacturing disappearing. That is not working for Americans.”",positive,0.2617
Thu Apr 03 13:44:45 +0000 2025,The vision of the US as a giant bank served by a giant military and kept functioning by lots of poor people on bikes and in cars delivering food to the bankers and their adjuncts  before returning to their rentals to enjoy crappy imported goods manufactured by the bankers'…,negative,-0.3612
Thu Apr 03 01:45:46 +0000 2025,"America is not an economic zone.  It's not a strip mall with an airport attached.  It's a nation. It's a people. It's our home.  For too long, our leaders have been selling our country off for parts.  Today, President Trump put America First. Here's why. 🧵",neutral,0.0
Wed Apr 02 22:23:48 +0000 2025,🚨 Democrats are attempting to overturn President Trump’s National Emergency at the northern border.  They’re willing to turn a blind eye to fentanyl trafficking to make a political point.,negative,-0.6486
Wed Apr 02 16:10:06 +0000 2025,President Trump had been calling this out for decades.,neutral,0.0
Wed Apr 02 14:54:04 +0000 2025,The political problem on the Republican side of the aisle is how to get our base to vote in off-cycle elections.   We've seen the establishment (finally) accept Donald Trump's leadership of the Republican Party. Now it's time to try to actually learn from his political success.,positive,0.743
Wed Apr 02 14:19:28 +0000 2025,RIP Val Kilmer. (And good on Tom Cruise for insisting that this scene be in the Maverick movie. It had a gracious and elegant finality about it).,positive,0.8625
Tue Apr 01 14:32:40 +0000 2025,"Joe Biden sanctioned an invasion of the United States. We have approximately 20 million illegal aliens in this country. Their victims are measured in longer wait times for hospitals, overwhelmed schools, and murder victims the media largely ignored.   The media has deteremined…",negative,-0.9042
Tue Apr 01 04:58:05 +0000 2025,My comment is that according to the court document you apparently didn’t read he was a convicted MS-13 gang member with no legal right to be here.   My further comment is that it’s gross to get fired up about gang members getting deported while ignoring citizens they victimize.,negative,-0.9274
Mon Mar 31 03:50:55 +0000 2025,💯,neutral,0.0
Mon Mar 31 01:27:33 +0000 2025,"For those who need a reminder: the outrage is what Biden did to our border.   We’re cleaning up this mess, just as justice requires.",negative,-0.4166
Sat Mar 29 20:09:08 +0000 2025,"It is this braindead liberalism pretending to conservatism that saw the US go from the world's manufacturing superpower to one in which the PRC makes nearly twice as much as we do. And where, if the small island of Taiwan fell to an invasion, we'd be hurled into a Great…",positive,0.1027
Sat Mar 29 15:51:12 +0000 2025,Tim is a great American,positive,0.6249
Sat Mar 29 14:11:55 +0000 2025,"These people want to turn Europe into a permanent protectorate. The problem: if it was ever a good idea, it is simply not sustainable with $2 trillion in annual deficits.",positive,0.128
Sat Mar 29 10:42:35 +0000 2025,"Greenland, as it turns out, is both amazing and cold  Vice President @JDVance and I were tempted to take a cold plunge in the frigid water right behind us in this picture  Fortunately, the Second Lady was there to talk us out of it",positive,0.5859
Fri Mar 28 19:27:34 +0000 2025,Usha and I are on our way home from an incredible journey to Greenland. We can't wait to come back again soon.  America stands with Greenland!,neutral,0.0
Fri Mar 28 15:00:34 +0000 2025,We’re on our way and looking forward to it!,neutral,0.0
Thu Mar 27 19:19:10 +0000 2025,.@EliseStefanik is a PATRIOT! 🇺🇸,neutral,0.0
Thu Mar 27 14:42:20 +0000 2025,"This morning, @JoshKraushaar ran a hit piece against me in Jewish Insider, which has become an anti-JD rag. It has many problems, including seven anonymous quotes from cowardly Republicans.   But the most glaring factual error is the below, which says the Houthis killed three…",negative,-0.9306
Thu Mar 27 03:33:02 +0000 2025,"Extremely proud of our US Marines, and honored to get to visit with them today in Quantico. Semper Fi!",positive,0.8169
Wed Mar 26 23:33:05 +0000 2025,"Become VP, get to shoot machine guns with Marines. Not a bad gig!",positive,0.1882
Wed Mar 26 13:24:09 +0000 2025,It’s very clear Goldberg oversold what he had. But one thing in particular really stands out.   Remember when he was attacking Ratcliffe for blowing the cover for a CIA agent? Turns out Ratcliffe was simply naming his chief of staff.,negative,-0.4684
Tue Mar 25 19:38:06 +0000 2025,Looking forward to visiting Greenland on Friday!🇺🇸,neutral,0.0
Tue Mar 25 12:40:10 +0000 2025,Jeffrey Goldberg is well-known for his sensationalist spin. Here are the facts about his latest story:  1. No “war plans” were discussed.  2. No classified material was sent to the thread.   3. The White House Counsel’s Office has provided guidance on a number of different…,negative,-0.4767
Mon Mar 24 21:30:56 +0000 2025,Just finished up another great Cabinet meeting. Takeaways👇  -@POTUS’ example of energy in office will be the standard by which all future presidents will be judged.  -The President has assembled the most qualified — and unified — Cabinet in history.  -The bureaucracy will never…,positive,0.8428
Mon Mar 24 17:22:25 +0000 2025,"It's a fake AI-generated clip. I'm not surprised this guy doesn't have the intelligence to recognize this fact, but I wonder if he has the integrity to delete it now that he knows it's false.   If not, it could be defamation. I guess we'll find out!",positive,0.1361
Mon Mar 24 13:16:57 +0000 2025,Steve Witkoff is a great guy doing an incredible job. The people sniping at him are mad that he is succeeding where they failed for 40 years.   Turns out a lot of diplomacy boils down to a simple skill: don’t be an idiot.,negative,-0.3612
Fri Mar 21 18:44:23 +0000 2025,"REPORTER: The two astronauts that you just helped save from space, they didn't get any overtime pay...  @POTUS: ""If I have to, I'll pay it out of my own pocket... and I want to thank @elonmusk by the way because think if we don't have him.""",positive,0.6808
Wed Mar 19 17:27:59 +0000 2025,Well said.  Excellence saves lives.,positive,0.7351
Wed Mar 19 14:09:27 +0000 2025,"I met Tony a few times in the hallway of the West Wing. He was extremely kind, and I had no idea he coined the phrase ""evil empire.""  May he rest in peace.",positive,0.1513
Wed Mar 19 11:14:45 +0000 2025,"Sometimes when I need a little boost, I look at the @JDVance portrait in the @WhiteHouse and thank the Lord 🙏",positive,0.6003
Tue Mar 18 22:54:40 +0000 2025,This is extremely cool,positive,0.3804
Tue Mar 18 19:18:01 +0000 2025,"President Trump has secured an energy and infrastructure ceasefire in the Russia/Ukraine War -- the first deescalation in three years, paving the way for a full ceasefire and permanent peace. He also secured Russian cooperation on Iran/Middle East. Extraordinary accomplishments.",positive,0.7269
Tue Mar 18 16:25:08 +0000 2025,🚨 THIS IS A MASTERCLASS: VP JD Vance just absolutely excoriated the whole premise behind globalism.  Future of the Republican Party right here. He says the solution to globalists' hunger for cheap labor in other countries is to bring back American innovation. He is RIGHT.…,positive,0.6808
Tue Mar 18 14:25:25 +0000 2025,"The Trump plan for the great American comeback is simple: We want companies to invest right here in America—in our own workers and factories.  That means cutting taxes, slashing regulations, and unleashing energy so we can become the industrial powerhouse of the next century.",positive,0.5994
Tue Mar 18 11:50:03 +0000 2025,A great interview.,positive,0.6249
Mon Mar 17 13:49:17 +0000 2025,Western societies keep running the experiment of importing millions of low wage immigrants and expecting it to boost per capita productivity or GDP. And they keep failing.   It's time to follow a different path:,negative,-0.4019
Mon Mar 17 01:13:05 +0000 2025,There were violent criminals and rapists in our country. Democrats fought to keep them here.   President Trump deported them.,negative,-0.9349
Sat Mar 15 17:02:16 +0000 2025,"Peace Through Strength, every single day.",positive,0.7717
Fri Mar 14 18:02:12 +0000 2025,"Thanks to millions of hardworking Americans, President Donald J. Trump is back in the White House.   We have started our Great American Comeback🇺🇸",positive,0.7906
Fri Mar 14 17:02:30 +0000 2025,".@VP: ""You hear people saying 'how dare Donald Trump impose tariffs on foreign countries' that have been taking advantage of us for years. And the answer is that unless you are willing to use American power to fight back against what those countries have been doing for a…",negative,-0.4215
Wed Mar 12 19:30:15 +0000 2025,I knew he'd comment on these socks 🤣,neutral,0.0
Wed Mar 12 14:37:19 +0000 2025,"Vice President @JDVance delivers remarks ahead of his meeting with the Irish Prime Minister:  ""One of the things that we try to do with this breakfast is just remind people of the important bonds of friendship between the United States and Ireland."" 🇺🇸🇮🇪",positive,0.7579
Mon Mar 10 20:01:49 +0000 2025,"President Trump's economic polices are simple: if you invest in and create jobs in America, you'll be rewarded. We'll lower regulations and reduce taxes.  But if you build outside of the United States, you're on your own.",positive,0.6956
Mon Mar 10 18:51:04 +0000 2025,".@VP: ""The average income it takes to buy a new house is nearly 2x the average salary of your typical American family... That’s just not acceptable or sustainable in the United States of America. We want Americans to be a will to afford the American Dream of homeownership.""",positive,0.4833
Sat Mar 08 20:31:42 +0000 2025,Today while walking my 3 year old daughter a group of “Slava Ukraini” protesters followed us around and shouted as my daughter grew increasingly anxious and scared.   I decided to speak with the protesters in the hopes that I could trade a few minutes of conversation for them…,negative,-0.5994
Thu Mar 06 16:39:46 +0000 2025,Turns out all we needed to secure the border was a new president.  @POTUS,positive,0.34
Wed Mar 05 21:36:15 +0000 2025,".@VP delivers remarks from the SECURE southern border: ""As @POTUS said last night... it turns out we didn't need new laws. We didn't need fancy legislation. We just needed a new President of the United States — and thank God that's exactly what we have.""",positive,0.8602
Wed Mar 05 14:29:49 +0000 2025,"🚨 MIC DROP MOMENT FROM TRUMP. BOOM.  ""The media and our friends in the Democrat Party kept saying, 'We needed new legislation, we must have legislation to secure the border.' But it turned out - all we really needed was a new president.""",positive,0.3986
Wed Mar 05 11:36:28 +0000 2025,🇺🇸🇺🇸 Epic speech by @POTUS! 🇺🇸🇺🇸,neutral,0.0
Tue Mar 04 20:50:32 +0000 2025,America needs quality people in government who are willing to have tough conversations for the good of their country.  @ElbridgeColby is a friend of mine and exactly the type of person we should have in a leadership role at the Pentagon.,positive,0.6808
Tue Mar 04 02:48:04 +0000 2025,Hope is not a strategy to bring peace to Ukraine.  The only person in town who seems to have a strategy is President Donald J. Trump.,positive,0.7506
Sun Mar 02 16:15:47 +0000 2025,The bitter irony of America’s present predicament is that the very people who cheer for permanent arms shipments to Ukraine also supported the de-industrialization of America.   The very things you want us to send are things we don’t make enough of.,positive,0.5311
Sat Mar 01 22:25:14 +0000 2025,"This is such a tired argument.  America First means a foreign policy based on tangible American interests—not empty abstractions.  Foreign adventurism isn't ""conservative"" at all. It's Wilsonian liberalism, in new clothes.  The future of conservative foreign policy is REALISM. 🧵",negative,-0.5719
Sat Mar 01 13:22:35 +0000 2025,".@SecScottBessent: Trump sent me to Kyiv to bring Ukraine closer to the U.S.—to show Russia there was no daylight between us. Zelensky refused to sign, stalled in Munich, then backed out again. One of the biggest own goals in diplomatic history.",negative,-0.6249
Sat Mar 01 03:15:01 +0000 2025,".@SecRubio: ""There was no need for [Zelenskyy] to go in there and become antagonistic ... I think he should apologize for wasting our time for a meeting that was gonna end the way it did!""",negative,-0.7574
Fri Feb 28 14:18:24 +0000 2025,"Vice President @JDVance: “When President Trump talks about the need to bring peace, whether it’s in Russia and Ukraine or in the Middle East, we have to recognize that as a policy oriented toward saving lives and carrying out one of Christ's most important Commandments.”",positive,0.6801
Thu Feb 27 02:35:22 +0000 2025,Pretty amazing. We’ve gotten too accustomed to our president hiding from the press.,positive,0.7003
Wed Feb 26 02:06:33 +0000 2025,DNI Tulsi Gabbard says that the 100+ intel officials connected to the NSA secret sex chat room scandal will have their security clearances immediately revoked.  Tulsi is bringing back accountability to the intel community.,negative,-0.128
Tue Feb 25 20:28:09 +0000 2025,"During my senate campaign in 2022, I met a Ukrainian-American man in NE Ohio. He was very angry about my views on the conflict, and my desire to bring it to a rapid close.   ""You are trying to abandon my country, and I don't like it.""   ""Sir, I replied, ""your country is the…",negative,-0.8022
Tue Feb 25 13:23:04 +0000 2025,"So much of American diplomacy has become pure performance--an obsession with *saying* this or that.   The reason the failed establishment hates President Donald J. Trump is because he chooses his words carefully and, more importantly, is much more focused on *doing*.",negative,-0.3847
